标题,路线,day,src,stayKind,placeId,themes,city_zh,city_en,stay_zh,stay_en,drive_zh,drive_en,transport_zh,transport_en,lodging_zh,lodging_en,blurb_zh,blurb_en,dining_zh,dining_en,bullets_zh,bullets_en,photos
"r1-D11 普者黑","r1","11","zh","park","puzhehei","villages,wild","普者黑","Puzhehei","普者黑景区内","Inside Puzhehei scenic area","专车约 4 小时","Private car · ~4 h","建水小火车，下午专车赴普者黑约 4 小时","Jianshui mini-train, then car to Puzhehei ~4 h","彝族湖畔民宿","Yi minority lakeside guesthouse","普者黑是长在喀斯特森林里的一湖水。峰丛之间开着荷花，竹筏从中间穿过去——这种风景会让人怀疑是不是真的。","Puzhehei is a lake that grew inside a karst forest. Lotus flowers between the peaks, bamboo raft threading between them — this is the kind of landscape that makes you question whether it's real.","午餐：上路前在建水
晚餐：房东家常菜","Lunch: in Jianshui before the road
Dinner: innkeeper’s home-style cooking","建水古城、小火车（双龙桥、香会桥、团山民居）","Jianshui old town and the mini-train (Double Dragon, Xianghui, Tuanshan)","destinations/jianshui.jpg
destinations/chongzuo.jpg
destinations/puzhehei.jpg"
"r1-D12 弥勒","r1","12","zh","hotel","mile","wild,flavors","弥勒","Mile","东风韵，然后温泉","Dongfengyun, then the spring","专车约 3 小时","Private car · 3 h","柳叶舟游湖，专车至弥勒约 3 小时","Willow-leaf boat, then car to Mile ~3 h","温泉房","Hot-spring room","","","午餐：离开普者黑前的湖鱼
晚餐：云南菜，然后泡汤","Lunch: lake fish before leaving Puzhehei
Dinner: Yunnan table, then the spring","傍晚东风韵","Dongfengyun at dusk",""
"r1-D13 昆明","r1","13","zh","hotel","kunming","flavors,locals","昆明","Kunming","翠湖，最后一城","Green Lake, last city night","专车约 2 小时","Private car · 2 h","专车弥勒至昆明约 2 小时","Private car Mile → Kunming ~2 h","翠湖或机场附近","Green Lake or near the airport","","","午餐：过桥米线
晚餐：还有腿就去老街","Lunch: crossing-the-bridge noodles
Dinner: old street, if you still have legs","昆明翠湖公园
昆明老街","Green Lake Park
Kunming old street",""
"r1-D14 送机","r1","14","zh","hotel","","flavors","送机","Depart","机场","Airport","","","酒店送至长水机场，约 1 小时","Hotel to Kunming Changshui, ~1 h","早晨退房","Morning checkout","","","酒店早餐；晚班机可加斗南","Breakfast at the hotel, or Dounan if the flight is late","若下午或晚上航班，可安排斗南花市","Afternoon or evening flight? Dounan flower market",""
"r2-D01 南宁","r2","1","zh","hotel","nanning","locals,flavors","南宁","Nanning","邕江边，第一夜","Yong River, first Chinese night","","","抵达南宁，专车接机／接站，送往酒店","Airport pickup, then a brief city night","南宁市区酒店","Nanning city hotel","南宁，广西首府，中国面向东盟的门户之城。抵达后入住酒店，适应气候。若时间充裕，可前往中山路美食街感受邕城夜市的热烈。南宁不是终点，而是通往边境与远方的起点。","Nanning is Guangxi’s capital and China’s gateway toward ASEAN. Settle in, adjust to the climate, and — if you arrive early enough — taste the city’s night markets before the border road begins.","午餐：不含
晚餐：中山路美食街／三街两巷（时间充裕可选）","Lunch: depending on arrival
Dinner: Zhongshan Road or Three Streets & Two Lanes","中山路美食街 · 三街两巷","Night market if time allows",""
"r2-D02 下龙","r2","2","zh","hotel","halong","wild","下龙","Ha Long","湾上第一夜","First night on the bay","南宁→东兴约 2.5 小时 · 芒街→下龙约 3 小时","Nanning → Dongxing ~2.5 h · Mong Cai → Ha Long ~3 h","南宁赴东兴口岸（约 190 公里），通关约 1–1.5 小时，再赴下龙（约 180 公里）；行车约 5.5 小时","Nanning → Dongxing (~190 km), cross at Mong Cai (~1–1.5 h), then to Ha Long (~180 km) — ~5.5 h driving total","下龙看湾的酒店","Bay-facing hotel in Ha Long","自南宁出发，经东兴口岸过境至越南广宁省芒街市，再沿海岸南下赴下龙。一桥之隔，市井已悄然转换——法式骑楼、越南文招牌、街角炼乳咖啡的甜香。晚间面朝下龙湾入住，先闻海风里的咸味。","Leave Nanning for Dongxing, cross into Mong Cai, then drive the coastal road south to Ha Long. One bridge, and the street signs, coffee stalls and colonial façades already feel like another country. Overnight facing the bay — salt air before the islands.","午餐：途中／过关之后
晚餐：面朝下龙湾的海鲜","Lunch: on the way / after the crossing
Dinner: seafood facing the bay","东兴／芒街口岸通关","Border crossing at Dongxing / Mong Cai",""
"r2-D03 吉婆岛","r2","3","zh","hotel","catba","wild","吉婆岛","Cat Ba Island","岛上港边过夜","Harbour night on the island","轮渡约 1 小时","Ferry · ~1 h","下龙轮渡登陆吉婆岛，约 1 小时","Ferry from Ha Long to Cat Ba, ~1 h","看湾的小岛酒店","Bay-facing island hotel","乘轮渡从下龙前往吉婆岛——下龙湾—吉婆群岛世界自然遗产的核心岛屿。比下龙市更安静：租摩托环岛、出海皮划艇，或在沙滩静候日落。这一夜是水，不是高速旁的酒店。","A short ferry puts you on Cat Ba — the largest island in the Ha Long–Cat Ba World Heritage seascape. Quieter than the mainland town: rent a scooter, kayak the lagoons, or wait for sunset on the sand. The night here is water, not a highway hotel.","午餐：登岛之后
晚餐：港边海鲜","Lunch: on the island after landing
Dinner: harbour seafood","岛内自由活动（租摩托环岛／沙滩／皮划艇）","Free island time — scooter, beach or kayak",""
"r2-D04 河内","r2","4","zh","hotel","hanoi","flavors,locals","河内","Hanoi","古城，第一夜","Old Quarter, first night","跨海缆车至海防 · 公路约 2 小时赴河内","Cable to Hai Phong · road ~2 h to Hanoi","吉婆岛跨海缆车至海防（约 15–20 分钟），再专车赴河内（约 100 公里，约 2 小时）","Cat Ba cable to Hai Phong (~15–20 min), then road to Hanoi (~100 km, ~2 h)","湖边法租界小住","French-quarter hide near the lake","上午缆车跨越海面前往海防，再入河内千年古都。圣若瑟大教堂的斑驳灰砖、火车街几乎触手可及的铁轨、三十六古街的三轮车巷弄，晚间双层巴士夜游西湖——湖岸灯火与古寺倒影交汇。","Cable across the water to Hai Phong, then into Hanoi’s thousand-year capital. Cathedral brick, Train Street’s impossible closeness, a cyclo through the Old Quarter’s one-trade lanes, and a night bus around West Lake when the lights come on.","午餐：途中滴漏咖啡体验
晚餐：古城街头一桌","Lunch: Vietnamese drip coffee stop en route
Dinner: Old Quarter street table","圣若瑟大教堂
火车街
三十六古街 · 三轮车
观光巴士夜游西湖","St Joseph’s Cathedral
Train Street
36 Streets + cyclo
West Lake night bus",""
"r2-D05 米轨过夜","r2","5","zh","train","train","flavors,wild","米轨过夜","Overnight train","住在米轨上","Sleep on the metre-gauge","米轨过夜列车 · 约 8–9 小时","Overnight metre-gauge · ~8–9 h","白天河内市内；晚间河内站登上米轨软卧赴老街（约 296 公里，约 21:00 发车）","Hanoi city sights by day; evening soft sleeper Hanoi → Lao Cai (~296 km, dep. ~21:00)","滇越米轨软卧（河内—老街）","Soft sleeper on the Yunnan–Vietnam line","上午巴亭广场与胡志明陵，中午莲花自助餐，下午可逛河内菜市场。晚间登上百年米轨卧铺，沿河老铁路北上老街——枕着哐当声穿越红河三角洲的夜色，这是一种近乎消逝、却因此独一无二的旅行方式。","Morning at Ba Dinh and the Mausoleum, lotus buffet at noon, then a market wander if you want the city’s real pulse. At night, board the century-old metre-gauge sleeper up the Red River corridor toward Lao Cai — slow, old, and unlike any hotel.","午餐：莲花自助餐
晚餐：上车前简单一顿","Lunch: lotus buffet
Dinner: simple meal before boarding","巴亭广场 · 胡志明陵
自由活动／河内菜市场","Ba Dinh Square & Ho Chi Minh Mausoleum
Free time / Hanoi market",""
"r2-D06 沙坝","r2","6","zh","hotel","sapa","villages","沙坝","Sapa","镇上看田","Terraces above the town","老街→沙坝 · 盘山约 1 小时","Lao Cai → Sapa · ~1 h mountain road","清晨抵达老街站；专车盘山赴沙坝（约 35 公里，约 1 小时）","Arrive Lao Cai ~06:00; private transfer to Sapa (~35 km, ~1 h)","看田的山居","Terrace-facing mountain lodge","清晨抵达老街（隔南溪河与中国河口相望），转乘盘山公路约一小时上沙坝。海拔约 1650 米，云雾与梯田包裹山城；下午在梯田景观中用下午茶，把节奏交给缓慢与质朴。","Wake in Lao Cai — Vietnam’s northwest gate, across the river from China’s Hekou — then climb the mountain road to Sapa at 1,650 m. Mist, terraces, and a slow afternoon tea away from the market bustle.","午餐：抵达沙坝之后
晚餐：高地一桌","Lunch: after arrival in Sapa
Dinner: highland table","梯田下午茶 · 自由修整","Terrace afternoon tea & free time",""
"r2-D07 沙坝","r2","7","zh","hotel","sapa","villages,wild","沙坝","Sapa","云上第二夜","Second night in the clouds","当地接驳 · 合计约 1 小时","Local transfers · ~1 h total","番西邦缆车（单程约 20 分钟）及猫猫村接驳","Fansipan cable (~20 min each way) and Cat Cat village transfers","同一山居，不用收行李","Same mountain lodge — no packing","上午登番西邦峰（海拔 3143 米，印度支那屋脊），缆车穿越云海与黄连山原始林。下午走猫猫村——沙坝最古老的黑苗聚落之一，吊脚楼依坡而建，瀑布与手工艺仍是日常，不是布景。","Morning for Fansipan — Indochina’s roof at 3,143 m, via one of the world’s longest three-cable rides through cloud and forest. Afternoon in Cat Cat, an old Hmong settlement of stilt houses and a waterfall the French once called CatScat.","午餐：沙坝／山上
晚餐：高地热锅","Lunch: in Sapa or on the mountain
Dinner: highland hot pot","番西邦峰（缆车 + 山顶）
猫猫村","Fansipan summit (cable + peak)
Cat Cat village",""
"r2-D08 观堂","r2","8","zh","base","guantang","locals,villages","观堂","Guantang","村里连住的第一晚","Two-night village base","沙坝→河内约 5.5–6 小时 · 全日车程约 10 小时","Sapa → Hanoi ~5.5–6 h · then to Friendship Pass · ~10 h total","沙坝返河内，再赴谅山、友谊关出境，转赴龙州观堂（总里程约 550 公里；全程最长行车日，建议备路餐）","Sapa → Hanoi → Lang Son → Friendship Pass crossing → Longzhou Guantang (~550 km total; pack road snacks)","观堂的院子","Guantang courtyard","全程最长行车日：清晨告别沙坝，经河内转谅山，自友谊关（凭祥口岸）出境回国。当晚入住龙州观堂——壮乡干栏气息的精品小住，让一场跨越海域、平原与高山的越北之旅在关楼之下收束。","The longest road day: down from Sapa, across Lang Son, and home through Friendship Pass — one of China’s nine great gates. Overnight at Guantang in Longzhou, a quiet courtyard to settle the border crossing behind you.","午餐：途中／过关之后
晚餐：院子里的壮家饭","Lunch: on the road / after the pass
Dinner: Zhuang table at the courtyard","同登庙会（时节恰逢可选）","Dong Dang fair if in season",""
"r2-D09 观堂","r2","9","zh","base","guantang","villages,wild","观堂","Guantang","同一院子，不拎箱子","Same courtyard, no suitcase","当地约 1.5 小时／约 50 公里","Local · ~1.5 h / ~50 km","天琴壮寨与龙州周边蔗海骑行","Tianqin Zhuang village and sugarcane-sea cycling near Longzhou","观堂的院子 · 第二晚","Guantang courtyard — second night","第二天交给蔗海与天琴壮寨——干栏木楼、清亮的天琴，再骑行穿入喀斯特峰林间的甘蔗田。不拎箱子，享受边境小城的慢节奏。","The second morning belongs to the cane sea — bicycles between the stalks — and Tianqin village, where two strings carry a song older than the border line. No suitcase, no plan beyond the light.","午餐：村里的厨房
晚餐：油茶，和当天地里来的东西","Lunch: village kitchen
Dinner: oil tea and whatever came from the field","天琴壮寨 · 天琴弹唱
骑行蔗海
边境小城自由散步","Tianqin music in the Zhuang village
Bicycle through the cane sea
Free walk in the border town",""
"r2-D10 南宁","r2","10","zh","hotel","chongzuo","wild","南宁","Nanning","回到绿城","Back in the garden city","龙州→德天约 2 小时 · 明仕约 1 小时 · 南宁约 3 小时","Longzhou → Detian ~2 h · Mingshi ~1 h · Nanning ~3 h","专车赴德天瀑布（约 100 公里），再赴明仕田园（约 35 公里），晚返南宁（约 200 公里）；行车约 6 小时","Detian Falls (~100 km), Mingshi Pastoral (~35 km), then return to Nanning (~200 km) — ~6 h driving","南宁市区酒店","Nanning city hotel","德天瀑布横跨中越，归春河即为国界；水雾扑面，竹筏近岸。再赴明仕田园——峰林、稻田与壮锦日常比阳朔安静得多。晚返南宁入住。","Asia’s greatest cross-border waterfall — Detian on one bank, Ban Gioc on the other — then Mingshi’s quieter karst paddies and bamboo, before the loop closes back in Nanning.","午餐：德天河鱼
晚餐：南宁，想吃什么吃什么","Lunch: river fish at Detian
Dinner: Nanning, whatever you still want","德天瀑布（含竹筏）
明仕田园（竹筏或骑行）","Detian Falls (bamboo raft)
Mingshi Pastoral (raft or cycle)",""
"r2-D11 结束","r2","11","zh","hotel","","locals","结束","Depart","南宁","Nanning","","","酒店送至吴圩机场，约 40 分钟–1 小时","Hotel to Nanning Wuxu Airport, ~40 min–1 h","早晨退房","Morning checkout","按航班时间前往南宁吴圩国际机场。若时间充裕，可登青秀山远眺，或选芒果干、菠萝蜜干作伴手礼。一场从海上喀斯特到云中山城的十一日纪行，到此落幕。","Transfer to Nanning Wuxu International Airport by flight time. If the schedule allows, a last walk on Qingxiu Mountain — then the eleven-day loop from karst sea to cloud town is complete.","酒店早餐","Breakfast at the hotel","青秀山（航班时间充裕可选）
需要加住告诉我们","Qingxiu Mountain if time allows
Ask us for an extra night",""
"r3-D01 南宁","r3","1","zh","hotel","nanning","locals,flavors","南宁","Nanning","夜市里的第一夜","Street food, first night","","","专车接机／接站，送往酒店","Airport or station pickup, transfer to the hotel","南宁香格里拉酒店","Shangri-La Nanning","有人说过，广西是中国饮食最复杂的地方。而南宁作为首府，把这份复杂变成了街头滋味。这座城的热情藏在巷弄里：酸嘢的清爽、老友粉的热辣、卷筒粉的软糯、糖水的甜蜜，暮色渐浓时，建政夜市灯火通明、人声鼎沸。","Someone once called Guangxi the most complicated place to eat in China, and Nanning — its capital — is where that complexity becomes street food. The city's warmth hides in its lanes: the sour-savoury smell of pickled fruit, the heat of a wok firing old friend noodles, the sweet hush of a sugar-water stall at dusk.","午餐：不含
晚餐：建政夜市，自行寻觅","Lunch: not included
Dinner: Jianzheng night market, at your own pace","三街两巷 · 畅游阁
建政夜市","Three Streets & Two Lanes, Changyou Pavilion
Jianzheng night market",""
"r3-D02 崇左","r3","2","zh","hotel","chongzuo","wild","崇左","Chongzuo","黑水河边","By the Black Water River","南宁赴崇左","Nanning → Chongzuo","专车赴崇左，黑水河游船","Private car to Chongzuo, then the Black Water River boat","崇左秘境丽世度假村","LUX* Chongzuo","黑水河是崇左喀斯特最像画的一段：两岸峰林高耸、原始植被茂密，河水碧绿清澈，山的倒影静静铺在水面，船行其中，像驶进一幅水墨丹青。","The Black Water River is Chongzuo's karst at its most painterly — steep peaks and thick primaeval growth on both banks, water so clear the range lies doubled on the surface. Boating through it feels less like transport and more like drifting inside an ink painting.","午餐：小岛简餐
晚餐：不含","Lunch: simple lunch on the island
Dinner: not included","黑水河游船
秘境小岛 · 3.6 公里皮划艇
伏那秘境徒步 + 皮划艇","Black Water River boat trip
Secret island, 3.6 km by kayak
Funa: karst forest hike + kayak","destinations/chongzuo.jpg
destinations/chongzuo-mijing.jpg"
"r3-D03 崇左","r3","3","zh","hotel","chongzuo","wild,locals","崇左","Chongzuo","入住同一度假村","Same resort, no suitcase","","","德天瀑布，之后蓝洞咖啡","Detian falls, then the Blue Cave café","崇左秘境丽世度假村 · 第二晚","LUX* Chongzuo — second night","德天瀑布与越南板约瀑布共享「亚洲第一大跨国瀑布」之名。归春河在这里冲破喀斯特断层，从 70 米高的崖壁分三级跌落，晴日里水雾中常常挂起一道彩虹。随后在边境线上的天然溶洞里喝一杯咖啡。","Detian shares the title of Asia's largest trans-national waterfall with Vietnam's Ban Gioc. The Guichun River breaks over a limestone fault and drops 70 metres in three tiers — on sunny days the spray throws a standing rainbow. Afterwards, coffee inside a natural karst cave right on the border line.","午餐：蓝洞简餐
晚餐：不含","Lunch: light lunch at the Blue Cave
Dinner: not included","德天瀑布
蓝洞咖啡
丽世自由活动：垂钓、图书馆、散步","Detian falls
Blue Cave café
LUX* at leisure: fishing, library, walks","destinations/detian.jpg"
"r3-D04 北海","r3","4","zh","hotel","beihai","locals,flavors","北海","Beihai","银滩边","By Silver Beach","明仕赴北海","Mingshi → Beihai","观光车游览明仕田园，之后赴北海","Mingshi Pastoral by buggy, then drive to Beihai","北海万豪度假酒店","Beihai Marriott Resort","明仕田园最适合坐着看：观光车慢行，窗外山在转、水在流，成片稻田从身旁滑过，农舍炊烟慢慢升上天。傍晚交给海岸——银滩，还有侨港美食街，越南风味与广式海鲜在这里相遇。","Mingshi is best taken sitting down: a buggy rides past turning peaks, flowing water and rice fields sliding by while farmhouse smoke drifts up. By evening the coast takes over — Silver Beach, and Qiaogang's night market where Vietnamese flavours meet Cantonese seafood.","午餐：簸箕宴
晚餐：（不含）侨港美食街，自行寻觅","Lunch: basket feast
Dinner: Qiaogang food street, at your own pace","观光车游览明仕田园
自由逛银滩
侨港美食街","Mingshi Pastoral by buggy
Silver Beach
Qiaogang food street","destinations/chongzuo.jpg
destinations/catba.jpg"
"r3-D05 涠洲岛","r3","5","zh","hotel","Weizhou Island","locals,wild","涠洲岛","Weizhou Island","悬崖上的海景房","Cliffside above the sea","","","乘船上岛，环岛游","Ferry to Weizhou, then a circuit of the island","巨鲸悬崖度假酒店","Whale Cliff resort","百年天主教堂，用岛上特有的珊瑚石垒砌而成；旁边的百龄楼有近两百年历史，院子里柴窑烤的面包松软可口。石螺口因海湾形似螺口得名，浮潜就能看见热带鱼群。","A century-old Catholic church built from the island's own coral stone; beside it, Bailing House, nearly two hundred years old, with wood-fired bread from the courtyard. Shiluokou bay is named for the spiral of its shoreline — snorkel and the tropical fish are right there.","午餐：百龄楼午餐
晚餐：巨鲸悬崖晚餐","Lunch: Bailing House
Dinner: cliffside dinner","珊瑚石天主堂
百龄楼
石螺口
巨鲸下午茶","Coral-stone Catholic church
Bailing House
Shiluokou bay
Whale afternoon tea","destinations/catba.jpg
destinations/halong-natgeo.jpg"
"r3-D06 涠洲岛","r3","6","zh","hotel","Weizhou Island","locals,flavors,wild","涠洲岛","Weizhou Island","同一间悬崖房","Same cliffside room","","","海鲜市场、南湾街、远海海钓、鳄鱼山","Market, Nanwan, offshore fishing, Crocodile Mountain","巨鲸悬崖度假酒店 · 第二晚","Whale Cliff resort — second night","鳄鱼山是涠洲岛火山地质最纯粹的一段：红褐色火山岩千姿百态，海浪拍打溅起雪白浪花。跟着岛民逛对渔船码头的海鲜市场，走南湾街的海岸公路，还有那条 2.3 公里直通入海的蓝桥，海水蓝绿得像果冻。","Crocodile Mountain is the island's volcanic geology at its purest — red-brown lava rock in every shape, white spray where the swell hits. There is a fishing harbour market to walk with the islanders, Nanwan's coast road, and the 2.3 km Blue Bridge reaching straight into a sea the colour of jelly.","午餐：珊瑚石院子午餐
晚餐：春夏静也晚餐","Lunch: coral-stone courtyard
Dinner: Chunxia Jingye seaview dinner","海鲜市场
南湾街风光
斜阳岛远海海钓
鳄鱼山公园
蓝桥风光
南湾品酒","Fishing harbour market
Nanwan coast road
Offshore fishing off Xiyang Island
Crocodile Mountain
Blue Bridge beach
Wine by Nanwan bay","destinations/catba.jpg
destinations/catba-wanderlost.jpg"
"r3-D07 返程","r3","7","zh","hotel","","locals","返程","Depart","北海","Beihai","","","专车按返程时间提前一小时送达动车站／机场","Transfer to the station or airport one hour before departure","早晨退房","Morning checkout","","","酒店早餐","Breakfast at the hotel","下岛后专车送站／送机","Ferry back, then private transfer",""
