id,src,group_id,group_zh,group_en,q_zh,q_en,a_zh,a_en
"faq-transit","zh","visa","签证、政策与通关","Visas, Customs & Hotel Rules","240 小时过境免签怎么使用？","How does the 240-Hour Visa-Free Transit work for international travelers?","如果只是中途短暂停留，这个政策非常实用，而且近两年放宽了不少：符合条件的国家和地区名单还在扩大（目前已有 50 多个），可在指定区域免签停留最多 10 天——也就是 240 小时，前提是你要继续前往第三国或地区（例如：伦敦 → 上海 → 河内）。只要在机场的专用过境柜台出示已确认的联程机票即可。借道中国、顺手看一眼这里的文化，是很划算的走法。","It is a wonderful option if you are planning a brief stopover! China has relaxed this policy considerably: travellers from an expanding list of eligible countries (currently over 50) can now stay in designated regions for up to 10 days — 240 hours — without a visa, provided they are transiting to a third country or region (for example: London → Shanghai → Hanoi). All you need to do is show your confirmed onward ticket at the airport's special transit counter. It is a fantastic, stress-free way to sample the country's rich culture on your way to another destination."
"faq-hotel","zh","visa","签证、政策与通关","Visas, Customs & Hotel Rules","持外国护照可以入住任何酒店或精品民宿吗？","Can foreign passports check into any hotel or boutique guesthouse?","近来的政策明确鼓励各类住宿接待境外旅客。不过为了让入住真正顺畅、也确保临时住宿登记办妥，我们建议通过 Trip.com 这类成熟平台预订，或交由我们的专属顾问安排。行程里的每一处住宿，我们都会逐一核实，确认它们能妥妥当当地接待你。","Recent guidelines have significantly encouraged all hotels to warmly welcome international friends. However, to ensure an absolutely seamless check-in experience and guarantee proper local registration, we always advise booking your stays through established global platforms like Trip.com or checking with our bespoke concierge service. We manually verify each property in our itineraries to ensure they are fully prepared to host you with open arms."
"faq-passport","zh","visa","签证、政策与通关","Visas, Customs & Hotel Rules","白天出门游玩，需要随身带护照原件吗？","Do I need to carry my actual physical passport with me during day trips?","需要，请把护照原件随身放好。在中国，护照几乎是一把万能钥匙——不只坐高铁、住酒店要用，进国家级博物馆、在故宫这类重点景区买票，甚至偶尔过安检时，都要出示。把它当成旅途中最重要的那件行李就对了。","Yes, please keep your physical passport safely in your daypack. In China, your passport acts as your universal key. It is required not just for boarding bullet trains and checking into hotels, but also for entering prestigious national museums, purchasing tickets at major landmarks (like the Forbidden City), and occasionally passing standard security checkpoints. Think of it as your essential travel companion!"
"faq-holidays","zh","timing","人流控制与时间规划","Crowds & Smart Timing","想避开人潮，应该避开哪些时段？","When should I plan my trip to avoid the biggest national holiday crowds?","想走得从容，建议避开两个全国性长假：春节（通常在 1 月或 2 月）和国庆黄金周（10 月 1 日至 7 日）。这两个时段有几亿人返乡或出行，机票、酒店和高铁往往提前几个月就售罄。选在肩季出行，天气舒服，景区也安静得多。","To enjoy a serene and relaxed exploration, we highly recommend avoiding the two grand national holidays: Chinese New Year (usually in January or February) and Golden Week (October 1st to 7th). During these festival periods, hundreds of millions of locals travel to reunite with family, causing flights, hotels, and bullet trains to book out months in advance. Choosing the shoulder seasons guarantees you lovely weather and much quieter scenic walks."
"faq-weekday","zh","timing","人流控制与时间规划","Crowds & Smart Timing","平日里热门景点也会很挤吗？","Are famous tourist attractions heavily crowded on regular weekdays?","平日里会清静很多。为了保护文物和自然环境，国内绝大多数热门景点都实行实名制分时段预约，每天的门票总量是限定的。流程上的事你不用操心——我们的定制路书会提前数天把入场的时段锁定好，你到点直接进去就行。","Regular weekdays offer a much more intimate and quiet experience! To ensure historical monuments and natural parks remain well-preserved, China utilizes a strict real-name advanced reservation system for almost all popular landmarks. This means ticket numbers are capped daily. Don't worry about the logistics, though — our curated roadbooks are designed to automatically lock in your entry time-slots days in advance so you can walk straight in."
"faq-duration","zh","timing","人流控制与时间规划","Crowds & Smart Timing","第一次来，安排多少天比较从容？","How many days do you recommend for a beautiful, unhurried first trip?","想把风景真正看进去又不赶，10 到 14 天是最舒服的区间。像滇—桂—越这样的跨境大环线，这个时长刚好能把节奏铺开：既有高铁飞驰的畅快，也留出大把慢日子——在古城里闲逛、在清亮的河边喝杯咖啡、或者走进雾气未散的山路。","To truly absorb the landscape without feeling rushed, a duration of 10 to 14 days is the golden window. For an epic cross-border route like the Yunnan-Guangxi-Vietnam triangle, this timeframe gives you the perfect rhythm. It balances the thrilling speeds of the high-speed rail with deep, slow-paced days spent wandering ancient towns, sipping coffee by pristine rivers, and discovering misty mountain paths."
"faq-water","zh","comfort","餐饮、卫生与常识","Food, Health & Everyday Comfort","自来水可以直接喝吗？怎么找干净的饮用水？","Is tap water safe to drink directly, and how do I find clean water?","自来水不建议直接饮用。但补水这件事一点不麻烦：正规酒店的房间里都配有电热水壶，也会送免费的瓶装矿泉水；街角几乎都有便利店，冰的、常温的瓶装水都有，价格也很便宜。","Tap water in China is not intended for direct drinking. However, staying hydrated is incredibly easy! Every reputable hotel room comes equipped with a pristine electric kettle for boiling water, along with complimentary bottled mineral water. You will also find cozy convenience stores on almost every street corner selling ice-cold or room-temperature bottled water for a very nominal fee."
"faq-toilets","zh","comfort","餐饮、卫生与常识","Food, Health & Everyday Comfort","公共厕所的情况怎么样？会遇到蹲厕吗？","What should I expect regarding public restrooms (Squat Toilets)?","两种都会有。现代化的商场、高铁站、机场和高档酒店，基本都是标准的坐式马桶；但在古村落或山野步道上，更多还是传统的蹲厕——当地人认为这样更卫生。有个小提醒：公共厕所不一定备纸，随身带一小包纸巾和免洗洗手液，会是个好习惯。","You will find a blend of styles! Modern shopping malls, high-speed train stations, airports, and luxury hotels are fully equipped with standard Western-style sitting toilets. However, when exploring ancient villages or natural hiking trails, you will primarily encounter traditional squat toilets, which locals prefer for hygiene reasons. A gentle piece of advice: Public restrooms don't always stock paper, so keeping a small pack of pocket tissues and hand sanitizer in your daypack is a wonderful habit."
"faq-security","zh","comfort","餐饮、卫生与常识","Food, Health & Everyday Comfort","地铁安检严格吗？有什么规定？","How strict are security checks at metro stations, and what are the rules?","公共交通的安检很认真，这也是为了让大家出行更安心。每次进地铁站或火车站，行李都要过一次 X 光机，速度很快。想少点耽搁：别随身带小刀，也别带喷雾防晒这类易燃气压罐。另外，充电宝上要有清晰的容量标识（不超过 100Wh 或 20000mAh，这也是国际通行的航空标准）。","Security is treated with great care to keep public transit incredibly safe for everyone. Every time you enter a subway or train station, your bags will pass through a quick X-ray scanner. To avoid any minor delays, remember not to pack small pocket knives or flammable aerosols (like spray sunscreens). Also, ensure your portable power banks are clearly labeled with their capacity specifications (under 100Wh or 20000mAh is the standard global airline limit)."
"faq-safety","zh","comfort","餐饮、卫生与常识","Food, Health & Everyday Comfort","女性独自旅行、夜间出行安全吗？","Is China safe for solo female travelers and late-night walking?","总体来说，在国际旅行者（包括独自出行的女性）心中，中国一直是全球最安全的目的地之一。街头暴力犯罪极为罕见，大多数城市中心入夜后依然灯火通明、人气不减。不过，在陌生的地方旅行，多少还是需要一点实际的警觉：主要城市之外英语并不通用，外国手机的导航偶尔也会出偏差或失灵，深夜独自走进游客罕至的城郊深处，难免会让人有些转向、甚至孤立无援。想要一个尽兴又放松的夜晚——无论你是想逛夜市，还是尝尝深夜街头小吃——我们都强烈建议加入小规模的向导团、待在主要的步行街区，或与旅伴结伴探索。有本地向导或旅伴在身边，不仅能随时化解语言障碍，更能让你以最从容、最安心的姿态，沉浸到这片丰富的夜色文化里。","Generally speaking, China has earned a wonderful global reputation as one of the most secure destinations for international travelers, including solo women. Violent street crime is exceptionally rare, and most urban centers remain vibrant and well-lit long after sunset. However, traveling through an unfamiliar landscape always requires practical mindfulness. Because English isn't universally spoken outside major hubs and digital navigation can occasionally twist or glitch for foreign phones, wandering deep into unfamiliar, non-touristy outskirts alone at night can leave you feeling disoriented or isolated. For the most fulfilling and relaxing evening experience—whether you are hoping to explore night markets or sample late-night street food—we highly recommend joining a small guided group, sticking to major pedestrian districts, or exploring with fellow travelers. Having a local guide or a travel companion not only smooths over any sudden language barriers but allows you to dive into the rich nocturnal culture with absolute comfort and confidence."
